编号,诗名称,作者,诗类型,链接
219,与高适薛据同登慈恩寺,岑参,五言古诗,https://so.gushiwen.cn/shiwenv_14f186d50948.aspx
220,下终南山过斛斯山人宿置酒,李白,五言古诗,https://so.gushiwen.cn/shiwenv_047024512325.aspx
221,月下独酌四首·其一,李白,五言古诗,https://so.gushiwen.cn/shiwenv_3185407c5519.aspx
222,春思,李白,五言古诗,https://so.gushiwen.cn/shiwenv_727c47ecf120.aspx
223,梦李白·其一,杜甫,五言古诗,https://so.gushiwen.cn/shiwenv_46c874845670.aspx
224,梦李白·其二,杜甫,五言古诗,https://so.gushiwen.cn/shiwenv_12c487f7a589.aspx
225,望岳,杜甫,五言古诗,https://so.gushiwen.cn/shiwenv_efec283b31e0.aspx
226,赠卫八处士,杜甫,五言古诗,https://so.gushiwen.cn/shiwenv_9670cc44eef4.aspx
227,佳人,杜甫,五言古诗,https://so.gushiwen.cn/shiwenv_33daedbc42a1.aspx
228,秋登兰山寄张五,孟浩然,五言古诗,https://so.gushiwen.cn/shiwenv_59375fc2edd7.aspx
229,夏日南亭怀辛大,孟浩然,五言古诗,https://so.gushiwen.cn/shiwenv_9306064f2630.aspx
230,宿业师山房待丁大不至,孟浩然,五言古诗,https://so.gushiwen.cn/shiwenv_2c7594304bb9.aspx
231,寻西山隐者不遇,丘为,五言古诗,https://so.gushiwen.cn/shiwenv_23c91fa1d5eb.aspx
232,晨诣超师院读禅经,柳宗元,五言古诗,https://so.gushiwen.cn/shiwenv_8483f12e6ef6.aspx
233,溪居,柳宗元,五言古诗,https://so.gushiwen.cn/shiwenv_324652b6ac3d.aspx
234,送杨氏女,韦应物,五言古诗,https://so.gushiwen.cn/shiwenv_871dfe3a1377.aspx
235,长安遇冯著,韦应物,五言古诗,https://so.gushiwen.cn/shiwenv_c40eeba65a3e.aspx
236,夕次盱眙县,韦应物,五言古诗,https://so.gushiwen.cn/shiwenv_9a4af1036d85.aspx
237,东郊,韦应物,五言古诗,https://so.gushiwen.cn/shiwenv_48b0176c1010.aspx
238,郡斋雨中与诸文士燕集,韦应物,五言古诗,https://so.gushiwen.cn/shiwenv_4d064982fa0e.aspx
239,初发扬子寄元大校书,韦应物,五言古诗,https://so.gushiwen.cn/shiwenv_9a7569bbab39.aspx
240,寄全椒山中道士,韦应物,五言古诗,https://so.gushiwen.cn/shiwenv_bde0a1fcff27.aspx
241,宿王昌龄隐居,常建,五言古诗,https://so.gushiwen.cn/shiwenv_0b87829569c8.aspx
242,感遇·孤鸿海上来,张九龄,五言古诗,https://so.gushiwen.cn/shiwenv_f4a35c0d146a.aspx
243,感遇·兰叶春葳蕤,张九龄,五言古诗,https://so.gushiwen.cn/shiwenv_d5419292d268.aspx
244,感遇·幽人归独卧,张九龄,五言古诗,https://so.gushiwen.cn/shiwenv_5e265e29083e.aspx
245,感遇·江南有丹橘,张九龄,五言古诗,https://so.gushiwen.cn/shiwenv_02ba8d3eabab.aspx
246,春泛若耶溪,綦毋潜,五言古诗,https://so.gushiwen.cn/shiwenv_99260121fb8c.aspx
247,石鱼湖上醉歌,元结,七言古诗,https://so.gushiwen.cn/shiwenv_77085af4c2c2.aspx
248,长恨歌,白居易,七言古诗,https://so.gushiwen.cn/shiwenv_09d31b73b44d.aspx
249,琵琶行,白居易,七言古诗,https://so.gushiwen.cn/shiwenv_0581b0ba8bb4.aspx
250,走马川行奉送封大夫出师,岑参,七言古诗,https://so.gushiwen.cn/shiwenv_ad4d98d510ea.aspx
251,轮台歌奉送封大夫出师,岑参,七言古诗,https://so.gushiwen.cn/shiwenv_9aed86610172.aspx
